Brand,Model,Variant,Year of Manufacture,Driven Kilometers,Fuel type,Transmission Type,Number of Owners,Location,Price in Lakhs
Maruti,Suzuki,VDI,2007,80000.0,DIESEL,MANUAL,1st,Karnataka," 2,85,000"
Maruti,Suzuki,LXI Optional-O,2017,90000,CNG,MANUAL,Second,Rajasthan," 4,20,000"
Hyundai,Creta,1.6 SX Plus Auto,2017,33000.0,PETROL,AUTOMATIC,1st,Maharashtra," 10,85,000"
Honda,City,V CVT Petrol [2017-2019],Jan 2017,"24,546",Petrol,Automatic,First,Noida,8.04
Tata,Nano,2012-2015 Twist XE,2015,"26,000",PETROL,MANUAL,2nd,Kerala," 2,00,000"
Hyundai,Creta,1.6 SX,2015,72000.0,DIESEL,--,1st,Maharashtra," 9,15,000"
Tata,Zest,Quadrajet 1.3 75PS XE,2020,15000.0,DIESEL,MANUAL,1st,Karnataka," 4,60,000"
Hyundai,I10,1.2 Kappa Magna,2009,90000,PETROL,MANUAL,Second,Rajasthan," 1,30,000"
Hyundai,Santro,GLS II - Euro II,2010,90000.0,PETROL,MANUAL,2nd,Karnataka," 2,20,000"
Ford,Endeavour,2.2 Titanium AT 4X2 Sunroof,2019,112000.0,DIESEL,AUTOMATIC,1st,Rajasthan," 28,50,000"
Hyundai,Tucson,2.0 e-VGT 2WD AT GL Opt,2017,67000.0,DIESEL,AUTOMATIC,2nd,Delhi," 13,50,000"
Hyundai,Santa,2WD AT,2014,98000.0,DIESEL,--,2nd,Karnataka," 10,75,000"
Maruti,Suzuki,CNG LXI,2013,65000.0,CNG & HYBRIDS,MANUAL,1st,Maharashtra," 2,45,000"
Maruti,Suzuki,Zxi BS-IV,2015,77000.0,PETROL,MANUAL,2nd,Kerala," 4,49,999"
Honda,City,2008-2011 1.5 S MT,2009,80500.0,PETROL,MANUAL,2nd,Rajasthan," 3,10,000"
Maruti,Suzuki,VXI,2016,78000.0,PETROL,MANUAL,1st,Tamil," 4,50,000"
Mahindra,Kuv,2016-2017 mFALCON D75 K8 5str,2016,52000.0,PETROL,MANUAL,1st,Delhi," 3,45,000"
Audi,A4,2.0 TDI,2012,80000.0,DIESEL,AUTOMATIC,2nd,Rajasthan," 9,50,000"
Hyundai,I10,2007-2010 Magna AT,2010,68000.0,CNG & HYBRIDS,AUTOMATIC,1st,Delhi," 2,35,000"
